OTU00003	STD_MiFish08	100.000	162	0	0	6	167	11	172	1.50e-85	300
OTU00030	STD_cyprinus	100.000	173	0	0	1	173	1	173	1.20e-91	320
OTU00031	STD_cyprinus	98.266	173	3	0	1	173	1	173	1.21e-86	303
OTU00037	STD_MiFish02	100.000	172	0	0	1	172	1	172	4.29e-91	318
OTU00045	STD_MiFish08	100.000	128	0	0	16	143	45	172	1.22e-66	237
OTU00046	STD_MiFish09	100.000	172	0	0	1	172	1	172	4.29e-91	318
OTU00047	STD_MiFish05	100.000	172	0	0	1	172	1	172	4.29e-91	318
OTU00048	STD_MiFish08	100.000	172	0	0	1	172	1	172	4.29e-91	318
OTU00049	STD_MiFish04	100.000	172	0	0	1	172	1	172	4.29e-91	318
OTU00050	STD_MiFish02	100.000	133	0	0	1	133	1	133	1.79e-69	246
OTU00051	STD_MiFish09	97.872	141	1	2	12	151	33	172	2.34e-68	243
OTU00058	STD_takifugu	100.000	171	0	0	1	171	1	171	1.53e-90	316
OTU00065	STD_Engraulis	100.000	173	0	0	1	173	1	173	1.20e-91	320
OTU00113	STD_lateolabrax	100.000	170	0	0	1	170	1	170	5.48e-90	315
OTU00114	STD_lateolabrax	98.788	165	2	0	1	165	1	165	7.13e-84	294
OTU00117	STD_Anguilla	100.000	169	0	0	1	169	1	169	1.96e-89	313
